character	countSpeechesInEpisode	Episode ID
FEMALE STUDENT B	1	01x07.xml
ABEL	1	01x07.xml
EDWARD	1	01x07.xml
CONNER	1	01x07.xml
GEORGE	1	01x07.xml
HERMAN	1	01x07.xml
CARL	1	01x07.xml
INSTRUCTOR (SCIENCE)	4	01x07.xml
MALE STUDENT C	3	01x07.xml
FEMALE INSTRUCTOR	1	01x07.xml
SENIOR WAITER	1	01x07.xml
FLASHBACKDAMIAN	1	01x07.xml
YOUNG YURI	5	01x07.xml
YOUNG YURI	5	01x08.xml
YOUNG YOR	3	01x07.xml
YOUNG YOR	5	01x08.xml
INSTRUCTOR (MATH)	3	01x08.xml
HAYWARD	8	01x08.xml
FIRST LIEUTENANT	18	01x08.xml
FIRST LIEUTENANT	12	01x09.xml
SECOND LIEUTENANT	4	01x08.xml
SECRETARY	2	01x08.xml
HEYWARD	10	01x08.xml
ENEMY	1	01x08.xml
ANNOUNCER	2	01x08.xml
ANNOUNCER	3	01x12.xml
FLASHBACK YOUNG YOR	1	01x08.xml
FLASHBACKYOUNG YOR	1	01x08.xml
FLASHBACKYOUNG YURI	1	01x08.xml
YOR AND LOID	1	01x08.xml
LITTLE YURI	5	01x09.xml
FLASHBACK YOR (ECHO)	2	01x09.xml
PASSERBY A&B	1	01x09.xml
SECTION CHIEF	5	01x09.xml
FAKE LIEUTENANT	22	01x09.xml
FAKE SECOND LIEUTENANT	19	01x09.xml
FAKE LIEUTENANT (LOID)	2	01x09.xml
MAIN	1	01x10.xml
STUDENTS	1	01x10.xml
CLASS MOB	5	01x10.xml
FLASHBACK DAMIAN	3	01x10.xml
BILL	37	01x10.xml
BILL'S FATHER	4	01x10.xml
EMILE AND EWEN	2	01x10.xml
DAMIAN; EMILE; EWEN	1	01x10.xml
OUT OF BOUNDS CLASS STUDENT A	1	01x10.xml
OUT OF BOUNDS CLASS STUDENT B	1	01x10.xml
CLASS STUDENT	2	01x10.xml
CLASS STUDENTS	4	01x10.xml
DAMIAN; EWEN; EMILE	1	01x10.xml
BONDMAN'S COMRADE	2	01x11.xml
ADULT A	1	01x11.xml
ADULT B	1	01x11.xml
HEAD NURSE	8	01x11.xml
NURSE A	2	01x11.xml
KEN	10	01x11.xml
FEMALE SWIM INSTRUCTOR	19	01x11.xml
MALE SWIM INSTRUCTOR	6	01x11.xml
PATIENT A	2	01x11.xml
PATIENT B	2	01x11.xml
HENRY	1	01x11.xml
STELLA NEEDED TO BECOME AN IMPERIAL SCHOLAR	1	01x11.xml
GIRL STUDENT A	2	01x11.xml
GIRL STUDENT B	1	01x11.xml
BOY STUDENT A	3	01x11.xml
BOY STUDENT B	1	01x11.xml
ANYA AS DAMIAN	5	01x11.xml
ANYA AS LOID	3	01x11.xml
BOY STUDENT C	2	01x11.xml
BOY STUDENT D	2	01x11.xml
GIRL STUDENT C	2	01x11.xml
GIRL STUDENT D	3	01x11.xml
GIRL STUDENT E	1	01x11.xml
GIRL STUDENT F	2	01x11.xml
GIRL STUDENT G	1	01x11.xml
ANYA AS DONOVAN	1	01x11.xml
SMUGGLER A	7	01x11.xml
SMUGGLER B	5	01x11.xml
SIGN___OPERATION_STRIX	1	01x12.xml
WIFE A	12	01x12.xml
WIFE B	3	01x12.xml
WIFE C	3	01x12.xml
WIFE D	1	01x12.xml
WIFE A AND B	1	01x12.xml
MAN'S VOICE A	1	01x12.xml
WOMAN'S VOICE	1	01x12.xml
MAN'S VOICE B	1	01x12.xml
PENGUIN'S VOICE A	1	01x12.xml
PENGUIN'S VOICE B	1	01x12.xml
PENGUIN'S VOICE C	1	01x12.xml
